n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
500,0.45,0,12,10,0.014065345092670907,95
500,0.45,1,8,10,0.01733839882123674,96
500,0.45,1,9,10,0.012703845322452962,96
500,0.45,1,10,10,0.009268776635737015,96
500,0.45,1,11,10,0.011113019540657115,96
500,0.45,1,12,10,0.011762273170152956,96
500,0.45,2,8,10,0.018033930353753013,97
500,0.45,2,9,10,0.01204818081534084,97
500,0.45,2,10,10,0.007380447325848918,97
500,0.45,2,11,10,0.008718007248385177,97
500,0.45,2,12,10,0.010276312140286178,97
500,0.45,3,8,10,0.016627545652999676,98
500,0.45,3,9,10,0.011676878189556301,98
500,0.45,3,10,10,0.010795283062054128,98
500,0.45,3,11,10,0.011218317938945165,98
500,0.45,3,12,10,0.013175977863827484,98
500,0.45,4,8,10,0.0184870206412362,99
500,0.45,4,9,10,0.014223991401240622,99
500,0.45,4,10,10,0.0116377132751886,99
500,0.45,4,11,10,0.012541897104791477,99
500,0.45,4,12,10,0.01599845196072486,99
500,0.5,0,8,10,0.01282343067037171,100
500,0.5,0,9,10,0.007380706263559071,100
500,0.5,0,10,10,0.002619717682044489,100
500,0.5,0,11,10,0.0034150725019106098,100
